_id,bestsellers_date,published_date,amazon_product_url,author,description,price,publisher,title,rank,rank_last_week,weeks_on_list,l_author,l_title,book_id
5b4aa4ead3089013507db18b,2008-05-24,2008-06-08,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20,Dean R Koontz,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",27,Bantam,ODD HOURS,1,0,1,deanrkoontz,oddhours,deanrkoontz_oddhours
5b4aa4ead3089013507db18c,2008-05-24,2008-06-08,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.",25.99,"Little, Brown",THE HOST,2,1,3,stepheniemeyer,thehost,stepheniemeyer_thehost
5b4aa4ead3089013507db18d,2008-05-24,2008-06-08,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,A woman's happy marriage is shaken when she encounters an old boyfriend.,24.95,St. Martin's,LOVE THE ONE YOU'RE WITH,3,2,2,emilygiffin,lovetheoneyourewith,emilygiffin_lovetheoneyourewith
5b4aa4ead3089013507db18e,2008-05-24,2008-06-08,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20,Patricia Cornwell,"A Massachusetts state investigator and his team from ""At Risk"" confront a rogue association of municipal police departments.",22.95,Putnam,THE FRONT,4,0,1,patriciacornwell,thefront,patriciacornwell_thefront
5b4aa4ead3089013507db18f,2008-05-24,2008-06-08,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,Chuck Palahniuk,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,24.95,Doubleday,SNUFF,5,0,1,chuckpalahniuk,snuff,chuckpalahniuk_snuff
5b4aa4ead3089013507db190,2008-05-24,2008-06-08,http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20,James Patterson and Gabrielle Charbonnet,A woman finds an unexpected love,24.99,"Little, Brown",SUNDAYS AT TIFFANY’S,6,3,4,jamespattersonandgabriellecharbonnet,sundaysattiffanys,jamespattersonandgabriellecharbonnet_sundaysattiffanys
5b4aa4ead3089013507db191,2008-05-24,2008-06-08,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20,John Sandford,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,26.95,Putnam,PHANTOM PREY,7,4,3,johnsandford,phantomprey,johnsandford_phantomprey
5b4aa4ead3089013507db192,2008-05-24,2008-06-08,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Jimmy Buffett,A Southern family tries to hide its pet pig at a New York luxury hotel.,21.99,"Little, Brown",SWINE NOT?,8,6,2,jimmybuffett,swinenot,jimmybuffett_swinenot
5b4aa4ead3089013507db193,2008-05-24,2008-06-08,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20,Elizabeth George,"In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.",27.95,Harper,CARELESS IN RED,9,8,3,elizabethgeorge,carelessinred,elizabethgeorge_carelessinred
5b4aa4ead3089013507db194,2008-05-24,2008-06-08,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20,David Baldacci,An intelligence agent and a journalist team up against a warmongering defense contractor.,26.99,Grand Central,THE WHOLE TRUTH,10,7,5,davidbaldacci,thewholetruth,davidbaldacci_thewholetruth
5b4aa4ead3089013507db195,2008-05-24,2008-06-08,http://www.amazon.com/Careless-Red-Novel-Elizabeth-George/dp/0061160873?tag=NYTBS-20,Troy Denning,"The New Jedi order battles Darth Caedus, Darth Vader's gradson; a 'Star Wars: Legacy of the Force' novel.",27,Del Rey/Ballantine,INVINCIBLE,11,5,2,troydenning,invincible,troydenning_invincible
5b4aa4ead3089013507db196,2008-05-24,2008-06-08,http://www.amazon.com/Unaccustomed-Earth-Jhumpa-Lahiri/dp/0307265730?tag=NYTBS-20,James Frey,"A novel, set in Los Angeles, by the author of ""A Million Little Pieces.""",26.95,Harper,BRIGHT SHINY MORNING,12,9,2,jamesfrey,brightshinymorning,jamesfrey_brightshinymorning
5b4aa4ead3089013507db197,2008-05-24,2008-06-08,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20,Garth Stein,"A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.",23.95,Harper,THE ART OF RACING IN THE RAIN,13,0,1,garthstein,theartofracingintherain,garthstein_theartofracingintherain
5b4aa4ead3089013507db198,2008-05-24,2008-06-08,http://www.amazon.com/Twenty-Wishes-Blossom-Street-Books/dp/0778326314?tag=NYTBS-20,Debbie Macomber,A widow who owns a bookstore on Blossom Street compiles a list of things she always wanted to do.,24.95,Mira,TWENTY WISHES,14,10,4,debbiemacomber,twentywishes,debbiemacomber_twentywishes
5b4aa4ead3089013507db199,2008-05-24,2008-06-08,http://www.amazon.com/Hold-Tight-Harlan-Coben/dp/0525950605?tag=NYTBS-20,Jeff Shaara,A novel about the Allied invasion in France in World War II.,28,Ballantine,THE STEEL WAVE,15,11,2,jeffshaara,thesteelwave,jeffshaara_thesteelwave
5b4aa4ead3089013507db19a,2008-05-24,2008-06-08,http://www.amazon.com/Executive-Privilege-Novel-Phillip-Margolin/dp/0061236217?tag=NYTBS-20,Phillip Margolin,,0,HarperCollins Publishers,EXECUTIVE PRIVILEGE,16,0,0,phillipmargolin,executiveprivilege,phillipmargolin_executiveprivilege
5b4aa4ead3089013507db19b,2008-05-24,2008-06-08,http://www.amazon.com/Unaccustomed-Vintage-Contemporaries-Jhumpa-Lahiri/dp/0307278255?tag=NYTBS-20,Jhumpa Lahiri,Stories of the anxiety and transformation experienced by Bengalis in America.,0,Knopf,UNACCUSTOMED EARTH,17,0,0,jhumpalahiri,unaccustomedearth,jhumpalahiri_unaccustomedearth
5b4aa4ead3089013507db19c,2008-05-24,2008-06-08,http://www.amazon.com/Netherland-A-Novel-Joseph-ONeill/dp/0307377040?tag=NYTBS-20,Joseph O'Neill,A Dutchman deserted by his wife after 9/11 finds solace in New York’s immigrant cricket scene.,0,Knopf Publishing Group,NETHERLAND,18,0,0,josephoneill,netherland,josephoneill_netherland
5b4aa4ead3089013507db19d,2008-05-24,2008-06-08,http://www.amazon.com/The-Appeal-John-Grisham/dp/0440243815?tag=NYTBS-20,John Grisham,Political and legal intrigue ensue when a Mississippi court rules against a company accused of dumping toxic waste.,0,Doubleday Publishing,THE APPEAL,19,0,0,johngrisham,theappeal,johngrisham_theappeal
5b4aa4ead3089013507db19e,2008-05-24,2008-06-08,http://www.amazon.com/Indiana-Jones-Kingdom-Crystal-Skull/dp/0345501284?tag=NYTBS-20,James Rollins,,0,Random House Publishing Group,INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL,20,0,0,jamesrollins,indianajonesandthekingdomofthecrystalskull,jamesrollins_indianajonesandthekingdomofthecrystalskull
5b4aa4ead3089013507db19f,2008-05-31,2008-06-15,http://www.amazon.com/Blood-Anita-Blake-Vampire-Hunter/dp/0515146374?tag=NYTBS-20,Laurell K Hamilton,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,25.95,Berkley,BLOOD NOIR,1,0,1,laurellkhamilton,bloodnoir,laurellkhamilton_bloodnoir
5b4aa4ead3089013507db1a0,2008-05-31,2008-06-15,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.",25.99,"Little, Brown",THE HOST,2,2,4,stepheniemeyer,thehost,stepheniemeyer_thehost
5b4aa4ead3089013507db1a1,2008-05-31,2008-06-15,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20,Dean R Koontz,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",27,Bantam,ODD HOURS,3,1,2,deanrkoontz,oddhours,deanrkoontz_oddhours
5b4aa4ead3089013507db1a2,2008-05-31,2008-06-15,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,A woman’s happy marriage is shaken when she encounters an old boyfriend.,24.95,St. Martin's,LOVE THE ONE YOU'RE WITH,4,3,3,emilygiffin,lovetheoneyourewith,emilygiffin_lovetheoneyourewith
5b4aa4ead3089013507db1a3,2008-05-31,2008-06-15,http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20,James Patterson and Gabrielle Charbonnet,A woman finds an unexpected love.,24.99,"Little, Brown",SUNDAYS AT TIFFANY’S,5,6,5,jamespattersonandgabriellecharbonnet,sundaysattiffanys,jamespattersonandgabriellecharbonnet_sundaysattiffanys
5b4aa4ead3089013507db1a4,2008-05-31,2008-06-15,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Three glamorous friends, New York women nearing 30, vow to change their lives.",25.95,Simon & Schuster,CHASING HARRY WINSTON,6,0,1,laurenweisberger,chasingharrywinston,laurenweisberger_chasingharrywinston
5b4aa4ead3089013507db1a5,2008-05-31,2008-06-15,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20,Patricia Cornwell,A Massachusetts state investigator and his team from “At Risk” confront a rogue association of municipal police departments.,22.95,Putnam,THE FRONT,7,4,2,patriciacornwell,thefront,patriciacornwell_thefront
5b4aa4ead3089013507db1a6,2008-05-31,2008-06-15,http://www.amazon.com/Devil-Care-James-Bond-Novel/dp/0385524285?tag=NYTBS-20,Sebastian Faulks,This continuation of the James Bond franchise finds Bond tracking a dangerous pharmaceutical executive amid cold war tensions with the help of a beautiful girl.,24.95,Doubleday,DEVIL MAY CARE,8,0,1,sebastianfaulks,devilmaycare,sebastianfaulks_devilmaycare
5b4aa4ead3089013507db1a7,2008-05-31,2008-06-15,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20,John Sandford,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,26.95,Putnam,PHANTOM PREY,9,7,4,johnsandford,phantomprey,johnsandford_phantomprey
5b4aa4ead3089013507db1a8,2008-05-31,2008-06-15,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,Chuck Palahniuk,An aging porn queen aims to cap her career by having sex on film with 600 men in one day.,24.95,Doubleday,SNUFF,10,5,2,chuckpalahniuk,snuff,chuckpalahniuk_snuff
5b4aa4ead3089013507db1a9,2008-05-31,2008-06-15,http://www.amazon.com/Shadow-Power-Paul-Madriani-Novel/dp/B001OW5OR2?tag=NYTBS-20,Steve Martini,The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.,26.95,Morrow,SHADOW OF POWER,11,0,1,stevemartini,shadowofpower,stevemartini_shadowofpower
5b4aa4ead3089013507db1aa,2008-05-31,2008-06-15,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20,Elizabeth George,"In Cornwall, trying to recover from his wife’s death, Detective Thomas Lynley becomes involved in a murder investigation.",27.95,Harper,CARELESS IN RED,12,9,4,elizabethgeorge,carelessinred,elizabethgeorge_carelessinred
5b4aa4ead3089013507db1ab,2008-05-31,2008-06-15,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20,David Baldacci,An intelligence agent and a journalist team up against a warmongering defense contractor.,26.99,Grand Central,THE WHOLE TRUTH,13,10,6,davidbaldacci,thewholetruth,davidbaldacci_thewholetruth
5b4aa4ead3089013507db1ac,2008-05-31,2008-06-15,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20,Garth Stein,"A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.",23.95,Harper,THE ART OF RACING IN THE RAIN,14,13,2,garthstein,theartofracingintherain,garthstein_theartofracingintherain
5b4aa4ead3089013507db1ad,2008-05-31,2008-06-15,http://www.amazon.com/Careless-Red-Novel-Elizabeth-George/dp/0061160873?tag=NYTBS-20,Troy Denning,"The New Jedi order battles Darth Caedus, Darth Vader’s grandson; a “Star Wars: Legacy of the Force” novel.",27,Del Rey/Ballantine,INVINCIBLE,15,11,3,troydenning,invincible,troydenning_invincible
5b4aa4ead3089013507db1ae,2008-05-31,2008-06-15,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Jimmy Buffett,A Southern family tries to hide its pet pig at a New York luxury hotel.,0,"Little, Brown",SWINE NOT?,16,0,0,jimmybuffett,swinenot,jimmybuffett_swinenot
5b4aa4ead3089013507db1af,2008-05-31,2008-06-15,http://www.amazon.com/Blue-Smoke-Murder-Elizabeth-Lowell/dp/0060829869?tag=NYTBS-20,Elizabeth Lowell,,0,HarperCollins Publishers,BLUE SMOKE AND MURDER,17,0,0,elizabethlowell,bluesmokeandmurder,elizabethlowell_bluesmokeandmurder
5b4aa4ead3089013507db1b0,2008-05-31,2008-06-15,http://www.amazon.com/Unaccustomed-Earth-Jhumpa-Lahiri/dp/0307265730?tag=NYTBS-20,James Frey,"A novel, set in Los Angeles, by the author of ""A Million Little Pieces.""",0,Harper,BRIGHT SHINY MORNING,18,0,0,jamesfrey,brightshinymorning,jamesfrey_brightshinymorning
5b4aa4ead3089013507db1b1,2008-05-31,2008-06-15,http://www.amazon.com/The-Enchantress-Florence-A-Novel/dp/0679640517?tag=NYTBS-20,Salman Rushdie,,0,Random House Publishing Group,THE ENCHANTRESS OF FLORENCE,19,0,0,salmanrushdie,theenchantressofflorence,salmanrushdie_theenchantressofflorence
5b4aa4ead3089013507db1b2,2008-05-31,2008-06-15,http://www.amazon.com/Unaccustomed-Vintage-Contemporaries-Jhumpa-Lahiri/dp/0307278255?tag=NYTBS-20,Jhumpa Lahiri,Stories of the anxiety and transformation experienced by Bengalis in America.,0,Knopf,UNACCUSTOMED EARTH,20,0,0,jhumpalahiri,unaccustomedearth,jhumpalahiri_unaccustomedearth
5b4aa4ead3089013507db1b3,2008-06-07,2008-06-22,http://www.amazon.com/Nothing-Lose-Jack-Reacher-No/dp/0440245583?tag=NYTBS-20,Lee Child,Jack Reacher exposes the secrets of a Colorado town.,27,Delacorte,NOTHING TO LOSE,1,0,1,leechild,nothingtolose,leechild_nothingtolose
5b4aa4ead3089013507db1b4,2008-06-07,2008-06-22,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.",25.99,"Little, Brown",THE HOST,2,2,5,stepheniemeyer,thehost,stepheniemeyer_thehost
5b4aa4ead3089013507db1b5,2008-06-07,2008-06-22,http://www.amazon.com/Plague-Ship-The-Oregon-Files/dp/0425226697?tag=NYTBS-20,Clive Cussler with Jack Du Brul,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,26.95,Putnam,PLAGUE SHIP,3,0,1,clivecusslerwithjackdubrul,plagueship,clivecusslerwithjackdubrul_plagueship
5b4aa4ead3089013507db1b6,2008-06-07,2008-06-22,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,A woman’s happy marriage is shaken when she encounters an old boyfriend.,24.95,St. Martin's,LOVE THE ONE YOU'RE WITH,4,4,4,emilygiffin,lovetheoneyourewith,emilygiffin_lovetheoneyourewith
5b4aa4ead3089013507db1b7,2008-06-07,2008-06-22,http://www.amazon.com/Blood-Anita-Blake-Vampire-Hunter/dp/0515146374?tag=NYTBS-20,Laurell K Hamilton,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,25.95,Berkley,BLOOD NOIR,5,1,2,laurellkhamilton,bloodnoir,laurellkhamilton_bloodnoir
5b4aa4ead3089013507db1b8,2008-06-07,2008-06-22,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Three glamorous friends, New York women nearing 30, vow to change their lives.",25.95,Simon & Schuster,CHASING HARRY WINSTON,6,6,2,laurenweisberger,chasingharrywinston,laurenweisberger_chasingharrywinston
5b4aa4ead3089013507db1b9,2008-06-07,2008-06-22,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20,Dean R Koontz,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",27,Bantam,ODD HOURS,7,3,3,deanrkoontz,oddhours,deanrkoontz_oddhours
5b4aa4ead3089013507db1ba,2008-06-07,2008-06-22,http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20,James Patterson and Gabrielle Charbonnet,A woman finds an unexpected love.,24.99,"Little, Brown",SUNDAYS AT TIFFANY’S,8,5,6,jamespattersonandgabriellecharbonnet,sundaysattiffanys,jamespattersonandgabriellecharbonnet_sundaysattiffanys
5b4aa4ead3089013507db1bb,2008-06-07,2008-06-22,http://www.amazon.com/Death-Honor-Bound-Book/dp/0515146382?tag=NYTBS-20,W E B Griffin and William E Butterworth IV,A Marine pilot spies in  Argentina in 1943; the fourth book in the Honor Bound series.,26.95,Putnam,DEATH AND HONOR,9,0,1,webgriffinandwilliamebutterworthiv,deathandhonor,webgriffinandwilliamebutterworthiv_deathandhonor
