book_id,title,author,price,description,publisher,max_rank,avg_rank,min_rank,weeks_on_list,start_year,start_month,start_day,keyword_crime,keyword_murder,keyword_mystery,keyword_relationship,keyword_newyork,keyword_starwars
aaronallston_backlash,BACKLASH,Aaron Allston,27.0,"n the second novel in the “Star Wars: Fate of the Jedi” series, a being of pure dark-side energy looms.",Del Rey/Ballantine/Lucas,19.0,13.0,4.0,4,2010,3,14,False,False,False,False,False,True
aaronallston_conviction,CONVICTION,Aaron Allston,27.0,"The Jedi Order has taken control of the Galactic Alliance. Meanwhile, Luke and Ben Skywalker are pursuing the evil entity Abeloth; a ""Star Wars"" novel.",Del Rey/Ballantine/Lucas,11.0,7.0,3.0,2,2011,5,28,False,False,False,False,False,True
aaronallston_outcast,OUTCAST,Aaron Allston,27.0,The start of a new series about the extended Skywalker family; a “Star Wars” novel.,Del Rey/Ballantine,15.0,9.666666666666666,3.0,3,2009,3,28,False,False,False,False,False,True
aaronallston_starwarsxwingmercykill,STAR WARS: X-WING: MERCY KILL,Aaron Allston,,,LucasBooks,18.0,18.0,18.0,1,2012,8,11,False,False,False,False,False,False
abrahamverghese_cuttingforstone,CUTTING FOR STONE,Abraham Verghese,,"Twin brothers, conjoined and then separated, grow up amid the political turmoil of Ethiopia.",Knopf,17.0,17.0,17.0,1,2009,2,21,False,False,False,False,False,False
aceatkins_robertbparkerscheapshot,ROBERT B. PARKER'S CHEAP SHOT,Ace Atkins,,"Spenser searches for the kidnapped son of a player for the New England Patriots; a continuation of the series by Parker, who died in 2010.",Putnam,18.0,15.5,13.0,2,2014,5,10,False,False,False,False,False,False
aceatkins_robertbparkerskickback,ROBERT B. PARKER'S KICKBACK,Ace Atkins,,"Spenser defends a high school student wrongly accused of terrorism and sentenced to a brutal bootcamp; a continuation of the series by Parker, who died in 2010.",Putnam,19.0,14.5,10.0,2,2015,5,23,False,False,False,False,False,False
aceatkins_robertbparkerslittlewhitelies,ROBERT B. PARKER'S LITTLE WHITE LIES,Ace Atkins,,"Spenser is on the trail of a con man who has duped lovers, investors and military contractors; a continuation of the series by Parker, who died in 2010.",Putnam,11.0,11.0,11.0,1,2017,5,6,False,False,True,True,False,False
aceatkins_robertbparkerslullaby,ROBERT B. PARKER’S LULLABY,Ace Atkins,26.95,"Spenser helps a girl investigate her mother’s murder; a continuation of the series by Parker, who died in 2010.",Putnam,18.0,13.8,6.0,5,2012,5,5,True,True,True,False,False,False
aceatkins_robertbparkersslowburn,ROBERT B. PARKER'S SLOW BURN,Ace Atkins,,"Spenser is back, leaving a trail of antagonism as he investigates a series of suspicious Boston fires.",Putnam,17.0,17.0,17.0,1,2016,5,7,False,False,True,False,False,False
aceatkins_robertbparkerswonderland,ROBERT B. PARKER'S WONDERLAND,Ace Atkins,,"Spenser uncovers plans to build a huge casino north of Boston; a continuation of the series by Parker, who died in 2010. ",Putnam,19.0,14.5,10.0,2,2013,5,11,False,False,True,False,False,False
adamjohnson_theorphanmastersson,THE ORPHAN MASTER’S SON,Adam Johnson,26.0,A young North Korean is both victim and perpetrator of countless crimes.,Random House,18.0,16.5,15.0,2,2012,2,4,True,False,False,False,False,False
adrianatrigiani_allthestarsintheheavens,ALL THE STARS IN THE HEAVENS,Adriana Trigiani,,A fictional treatment of the life of the actress Loretta Young focuses on her rumored affair with the married Clark Gable and her subsequent pregnancy.,Harper,14.0,14.0,14.0,1,2015,10,17,False,False,False,True,False,False
adrianatrigiani_bravavalentine,"BRAVA, VALENTINE",Adriana Trigiani,25.99,"An Italian-American shoemaker faces challenges at work, in her family and in love; the second book in a trilogy.",Harper/HarperCollins,19.0,13.75,7.0,4,2010,2,14,False,False,False,True,False,False
adrianatrigiani_kisscarlo,KISS CARLO,Adriana Trigiani,,"Extended Italian-American families work, feud and fall in love in the Philadelphia area in 1949.",Harper/HarperCollins,15.0,12.75,7.0,4,2017,6,24,False,False,False,True,False,False
adrianatrigiani_theshoemakerswife,THE SHOEMAKER’S WIFE,Adriana Trigiani,26.99,Childhood sweethearts in turn-of-the-20th-century Italy meet again in America.,Harper/HarperCollins,20.0,12.444444444444445,5.0,9,2012,4,7,False,False,False,False,False,False
adrianatrigiani_thesuprememacaronicompany,THE SUPREME MACARONI COMPANY,Adriana Trigiani,,"Tensions arise when Valentine Roncalli, a Greenwich Village shoe designer, marries a handsome Italian, and the two must balance careers, countries and families. The final book in the Valentine trilogy. ",Harper,17.0,13.5,10.0,2,2013,11,30,False,False,False,True,False,False
adrianatrigiani_veryvalentine,VERY VALENTINE,Adriana Trigiani,25.99,An Italian-American shoemaker and her grandmother return to Italy to learn techniques to save their Greenwich Village company; the first book in a trilogy.,Harper,20.0,13.0,9.0,4,2009,2,7,False,False,False,False,False,False
aimeebender_theparticularsadnessoflemoncake,THE PARTICULAR SADNESS OF LEMON CAKE,Aimee Bender,25.95,A girl has insights into other people’s secret emotions.,Doubleday,19.0,17.25,15.0,4,2010,6,6,False,False,True,False,False,False
aimeemolloy_theperfectmother,THE PERFECT MOTHER,Aimee Molloy,,A missing baby unnerves a group of new mothers who meet in Prospect Park twice a week.,Harper,13.0,9.0,5.0,2,2018,5,5,True,False,False,False,False,False
ajfinn_thewomaninthewindow,THE WOMAN IN THE WINDOW,AJ Finn,,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,Morrow,14.0,6.826086956521739,1.0,23,2018,1,6,True,False,False,False,False,False
alanbradley_aredherringwithoutmustard,A RED HERRING WITHOUT MUSTARD,Alan Bradley,23.0,"The 11-year-old sleuth Flavia de Luce uses her scientific knowledge to solve, among other crimes, the murder of a poacher, the disappearance of an infant and a brutal attack on an old Gypsy woman.",Delacorte,9.0,9.0,9.0,1,2011,2,12,True,True,True,False,False,False
alanbradley_aschimneysweeperscometodust,AS CHIMNEY SWEEPERS COME TO DUST,Alan Bradley,,"The chemist and sleuth Flavia de Luce, now 12 and in boarding school in Canada, discovers a mummified body.",Delacorte,3.0,3.0,3.0,1,2015,1,10,True,False,True,False,False,False
alanbradley_iamhalfsickofshadows,I AM HALF-SICK OF SHADOWS,Alan Bradley,,,Delacorte,16.0,16.0,16.0,1,2011,11,5,False,False,False,False,False,False
alanbradley_speakingfromamongthebones,SPEAKING FROM AMONG THE BONES,Alan Bradley,24.0,"When the body of the church organist turns up in the tomb of an English hamlet’s patron saint, the 11-year-old sleuth and chemist Flavia de Luce is on the case.",Delacorte,8.0,8.0,8.0,1,2013,2,2,True,False,True,False,False,False
alanbradley_thedeadintheirvaultedarches,THE DEAD IN THEIR VAULTED ARCHES,Alan Bradley,,"The chemist Flavia de Luce, 11, receives a cryptic message from a stranger who is then pushed to his death.",Delacorte,6.0,6.0,6.0,1,2014,1,18,True,False,False,False,False,False
alanbradley_thegravesafineandprivateplace,THE GRAVE'S A FINE AND PRIVATE PLACE,Alan Bradley,,"Flavia de Luce, a young British sleuth, gets involved in solving a murder after experiencing a family tragedy.",Delacorte,10.0,10.0,10.0,1,2018,2,3,True,True,True,False,False,False
alanbradley_thricethebrindedcathathmewd,THRICE THE BRINDED CAT HATH MEW'D,Alan Bradley,,"The 12-year-old detective Flavia de Luce, returning home to",Delacorte,19.0,12.5,6.0,2,2016,9,24,False,False,True,False,False,False
alandeanfoster_theforceawakens,THE FORCE AWAKENS,Alan Dean Foster,,"Three decades after the defeat of the Galactic Empire, a new threat arises; an adaptation of the screenplay of the new “Star Wars” movie.",Del Rey,15.0,7.0,1.0,6,2016,1,9,False,False,False,False,False,True
alanfurst_aherooffrance,A HERO OF FRANCE,Alan Furst,,A Resistance leader aids the wartime effort without losing sight of the simple and essential pleasures of life.,Random House,18.0,12.5,7.0,2,2016,6,4,False,False,False,False,False,False
