,Date,Player Position,Player Name,From,To,Transfer Details
0,Sep 2 2019,Midfielder,Leonardo Bittencourt,Hoffenheim,Werder Bremen,Loan
1,Sep 2 2019,Midfielder,Vincenzo Grifo,Hoffenheim,Freiburg,undisclosed
2,Sep 2 2019,Attacker,Patrik Schick,AS Roma,RB Leipzig,Loan
3,Sep 2 2019,Attacker,Marius Wolf,Bor. Dortmund,Hertha Berlin,Loan
4,Sep 1 2019,Attacker,Andre Silva,AC Milan,Frankfurt,undisclosed
5,Aug 30 2019,Defender,Juan Miranda,FC Barcelona,Schalke 04,Loan
6,Aug 29 2019,Defender,Michael Lang,Monchengladbach,Werder Bremen,Loan
7,Aug 29 2019,Attacker,Jurgen Locadia,Brighton,Hoffenheim,Loan
8,Aug 28 2019,Defender,Felix Uduokhai,Wolfsburg,Augsburg,Loan
9,Aug 28 2019,Defender,Felix Udhokai,Wolfsburg,Augsburg,Loan
10,Aug 27 2019,Midfielder,Abdelhamid Sabiri,Huddersfield,Paderborn,Free
11,Aug 27 2019,Attacker,Adam Szalai,Hoffenheim,Mainz 05,Free
12,Aug 25 2019,Attacker,Bas Dost,Sporting Lisbon,Frankfurt,undisclosed
13,Aug 20 2019,Defender,Tin Jedvaj,Bayer Leverkusen,Augsburg,Loan
14,Aug 20 2019,Defender,Stephan Lichtsteiner,N/A,Augsburg,Free
15,Aug 17 2019,Midfielder,Michael Cuisance,Monchengladbach,Bayern Munich,9million
16,Aug 16 2019,Attacker,Philippe Coutinho,FC Barcelona,Bayern Munich,Loan
17,Aug 15 2019,Midfielder,Diadie Samassekou,RB Salzburg,Hoffenheim,12million
18,Aug 14 2019,Defender,Ramy Bensebaini,Rennes,Monchengladbach,8million
19,Aug 11 2019,Defender,Omer Toprak,Bor. Dortmund,Werder Bremen,Loan
20,Aug 10 2019,Attacker,Ivan Perisic,Inter Milan,Bayern Munich,Loan
21,Aug 8 2019,Defender,Jeremiah St. Juste,Feyenoord,Mainz,9million
22,Aug 8 2019,Defender,Kasim Adams,Hoffenheim,Fortuna Dusseldorf,Loan
23,Aug 8 2019,Attacker,Taiwo Awoniyi,Liverpool,Mainz,Loan
24,Aug 8 2019,Attacker,Taiwo Awoniyi,Liverpool,Mainz,Loan
25,Aug 8 2019,Goalkeeper,Kevin Trapp,PSG,Eintracht Frankfurt,7million
26,Aug 6 2019,Goalkeeper,Tomas Koubek,Stade Rennais,Augsburg,6.75million
27,Aug 6 2019,Defender,Sebastiaan Bornauw,Anderlecht,FC Koln,6.3million
28,Aug 3 2019,Attacker,Lukas Nmecha,Manchester City,Wolfsburg,Loan
29,Aug 2 2019,Defender,Reece Oxford,West Ham United,Augsburg,undisclosed
30,Aug 1 2019,Defender,Martin Hinteregger,Augsburg,Eintracht Frankfurt,12million
31,Aug 1 2019,Attacker,Dodi Lukebakio,Watford,Hertha Berlin,18million
32,Jul 31 2019,Midfielder,Nadiem Amiri,Hoffenheim,Bayer Leverkusen,undisclosed
33,Jul 31 2019,Midfielder,Sebastian Rudy,Schalke 04,Hoffenheim,Loan
34,Jul 30 2019,Defender,Markus Suttner,Brighton,Fortuna Dusseldorf,undisclosed
35,Jul 29 2019,Midfielder,Ellyes Shkiri,Montpellier,FC Koln,5.4million
36,Jul 27 2019,Midfielder,Sebastian Rode,Bor. Dortmund,Eintracht Frankfurt,3.8million
37,Jul 27 2019,Attacker,Robert Skov,FC Copenhagen,Hoffenheim,9million
38,Jul 25 2019,Midfielder,Ademola Lookman,Everton,RB Leipzig,18million
39,Jul 24 2019,Midfielder,Lewis Baker,Chelsea,Fortuna Dusseldorf,Loan
40,Jul 22 2019,Defender,Ethan Ampadu,Chelsea,RB Leipzig,Loan
41,Jul 22 2019,Attacker,Marcus Thuram,Guingamp,Monchengladbach,8.5million
42,Jul 18 2019,Attacker,Daishawn Redan,Chelsea,Hertha Berlin,undisclosed
43,Jul 18 2019,Midfielder,Christopher Nkunku,PSG,RB Leipzig,15million
44,Jul 11 2019,Midfielder,Erik Thommy,Stuttgart,Fortuna Dusseldorf,Loan
45,Jul 11 2019,Midfielder,Nana Ampomah,Waasland-Beveren,Fortuna Dusseldorf,4million
46,Jul 9 2019,Defender,Marek Suchy,Basel,Augsburg,Free
47,Jul 9 2019,Goalkeeper,Zack Steffen,Manchester City,Fortuna Dusseldorf,Loan
48,Jul 5 2019,Goalkeeper,Markus Schubert,Dynamo Dresden,Schalke 04,Free
49,Jul 5 2019,Attacker,Bernard Tekpetey,Schalke 04,Dusseldorf,Loan
50,Jul 5 2019,Defender,Neven Subotic,Saint-Etienne,Union Berlin,Free
51,Jul 3 2019,Defender,Erik Durm,Huddersfield,Frankfurt,Free
52,Jul 3 2019,Midfielder,Dominik Kohr,Bayer Leverkusen,Frankfurt,undisclosed
53,Jul 2 2019,Defender,Mateu Morey,Barcelona,Borussia Dortmund,Free
54,Jul 2 2019,Midfielder,Marko Grujic,Liverpool,Hertha Berlin,Loan
55,Jul 2 2019,Midfielder,Carlos Gruezo,FC Dallas,Augsburg,undisclosed
56,Jul 1 2019,Defender,Kevin Schlotterbeck,Freiburg,Union Berlin,Loan
57,Jul 1 2019,Defender,Ozan Kabak,Stuttgart,Schalke 04,13.5million
