,Date,Player Position,Player Name,From,To,Transfer Details
0,Aug 9 2019,Defender,David Luiz,Chelsea,Arsenal,8.7million
1,Aug 9 2019,Midfielder,Alex Iwobi,Arsenal,Everton,30million
2,Aug 9 2019,Midfielder,Ryan Sessegnon,Fulham,Tottenham,27million
3,Aug 9 2019,Midfielder,Giovani Lo Celso,Real Betis,Tottenham,Loan
4,Aug 9 2019,Midfielder,Danny Drinkwater,Chelsea,Burnley,Loan
5,Aug 9 2019,Defender,Pedro Porro,Girona,Man City,12million
6,Aug 9 2019,Midfielder,Muhamed Busic,Everton,Sheffield United,Loan
7,Aug 9 2019,Midfielder,Dennis Praet,Sampdoria,Leicester,21million
8,Aug 9 2019,Goalkeeper,Michael Verrips,KV Mechelen,Sheffield United,Free
9,Aug 8 2019,Defender,Emil Krafth,Amiens,Newcastle,5.4million
10,Aug 8 2019,Defender,Romaric Yapi,PSG,Brighton,undisclosed
11,Aug 8 2019,Defender,Kieran Tierney,Celtic,Arsenal,27million
12,Aug 8 2019,Attacker,Albian Ajeti,Basel,West Ham,8.7million
13,Aug 8 2019,Midfielder,Ismaila Sarr,Rennes,Watford,30million
14,Aug 8 2019,Attacker,Danny Welbeck,N/A,Watford,Free
15,Aug 8 2019,Goalkeeper,Scott Carson,Derby,Man City,Loan
16,Aug 8 2019,Goalkeeper,Djibril Sidibe,Monaco,Everton,Loan
17,Aug 8 2019,Midfielder,James McCarthy,Everton,Crystal Palace,3.2million
18,Aug 8 2019,Midfielder,Victor Camarasa,Real Betis,Crystal Palace,Loan
19,Aug 8 2019,Midfielder,Ibrahim Amadou,Sevilla,Norwich,Loan
20,Aug 8 2019,Defender,Joao Cancelo,Juventus,Man City,65million
21,Aug 8 2019,Defender,David Luiz,Chelsea,Arsenal,8million
22,Aug 8 2019,Attacker,Alex Iwobi,Arsenal,Everton,undisclosed
23,Aug 8 2019,Defender,Kevin Danso,Augsburg,Southampton,Loan
24,Aug 8 2019,Midfielder,Aaron Mooy,Huddersfield,Brighton,Loan
25,Aug 8 2019,Goalkeeper,Michael Verrips,KV Mechelen,Sheffield United,Free
26,Aug 8 2019,Midfielder,Dennis Praet,Sampdoria,Leicester,20million
27,Aug 8 2019,Defender,Ryan Sessegnon,Fulham,Tottenham,25million
28,Aug 8 2019,Midfielder,Giovani Lo Celso,Real Betis,Tottenham,Loan
29,Aug 8 2019,Midfielder,Danny Drinkwater,Chelsea,Burnley,Loan
30,Aug 8 2019,Defender,Pedro Porro,Girona,Manchester City,11million
31,Aug 8 2019,Midfielder,Muhamed Besic,Everton,Sheffield United,Loan
32,Aug 7 2019,Attacker,Harry Wilson,Liverpool,Bournemouth,Loan
33,Aug 7 2019,Attacker,Renat Dadashov,Estoril,Wolves,undisclosed
34,Aug 7 2019,Defender,Gary Cahill,Chelsea,Crystal Palace,Free
35,Aug 6 2019,Defender,Goncalo Cardoso,Boavista,West Ham,2.7million
36,Aug 5 2019,Defender,Harry Maguire,Leicester City,Manchester United,88million
37,Aug 5 2019,Goalkeeper,Adrian,West Ham United,Liverpool,Free
38,Aug 5 2019,Attacker,Neal Maupay,Brentford,Brighton,20million
39,Aug 4 2019,Attacker,Moise Kean,Juventus,Everton,27.5million
40,Aug 3 2019,Defender,Adam Webster,Bristol City,Brighton,20million
41,Aug 2 2019,Goalkeeper,Bailey Peacock-Farrell,Leeds United,Burnley,3million
42,Aug 2 2019,Attacker,Oliver McBurnie,Swansea City,Sheffield United,20million
43,Aug 2 2019,Attacker,Allan Saint-Maximin,Nice,Newcastle United,16.2million
44,Aug 2 2019,Defender,Jetro Willems,Eintracht Frankfurt,Newcastle United,Loan
45,Aug 2 2019,Midfielder,Jean-Philippe Gbamin,Mainz 05,Everton,22.5million
46,Aug 2 2019,Attacker,Pedro Neto,Lazio,Wolverhampton,undisclosed
47,Aug 2 2019,Midfielder,Bruno Jordao,Lazio,Wolverhampton,undisclosed
48,Aug 1 2019,Midfielder,Arnaut Danjuma,Club Brugge,Bournemouth,15million
49,Aug 1 2019,Goalkeeper,Tom Heaton,Burnley,Aston Villa,8.5million
50,Aug 1 2019,Attacker,Nicolas Pepe,Lille,Arsenal,72million
51,Aug 1 2019,Midfielder,Marvelous Nakamba,Club Brugge,Aston Villa,12million
52,Jul 31 2019,Attacker,Patrick Cutrone,AC Milan,Wolves,17million
53,Jul 29 2019,Midfielder,Philip Billing,Huddersfield,Bournemouth,15million
54,Jul 27 2019,Defender,Jesus Vallejo,Real Madrid,Wolverhampton,Loan
55,Jul 26 2019,Defender,William Saliba,Saint-Etienne,Arsenal,30million
56,Jul 25 2019,Attacker,Jordan Ayew,Swansea,Crystal Palace,3million
57,Jul 25 2019,Midfielder,Douglas Luiz,Manchester City,Aston Villa,16million
58,Jul 25 2019,Midfielder,Tom Dele-Bashiru,Manchester City,Watford,undisclosed
59,Jul 25 2019,Midfielder,Dani Ceballos,Real Madrid,Arsenal,Loan
60,Jul 24 2019,Midfielder,Trezeguet,Kasimpasa,Aston Villa,10million
61,Jul 23 2019,Attacker,Joelinton,Hoffenheim,Newcastle United,44million
62,Jul 22 2019,Attacker,Lys Mousset,Bournemouth,Sheffield United,11.1million
63,Jul 17 2019,Defender,Bjorn Engels,Reims,Aston Villa,undisclosed
