,Date,Player Position,Player Name,From,To,Transfer Details
0,Sep 2 2019,Goalkeeper,Bono,Girona,Sevilla,Loan
1,Sep 2 2019,Goalkeeper,Alphonse Areola,PSG,Real Madrid,Loan
2,Sep 2 2019,Defender,Abdul Rahman Baba,Chelsea,Mallorca,Loan
3,Sep 2 2019,Attacker,Jason,Valencia,Getafe,Loan
4,Sep 2 2019,Attacker,Javier Hernandez,West Ham United,Sevilla,7million
5,Sep 2 2019,Midfielder,Rafinha,Barcelona,Celta Vigo,Loan
6,Sep 2 2019,Defender,Lisandro Magallan,Ajax,Alaves,Loan
7,Sep 2 2019,Midfielder,Kenedy,Chelsea,Getafe,Loan
8,Sep 2 2019,Defender,Kevin Rodrigues,Real Sociedad,Leganes,Loan
9,Sep 2 2019,Goalkeeper,Fabri,Fulham,Mallorca,Loan
10,Sep 2 2019,Midfielder,Maxime Gonalons,AS Roma,Granada,Loan
11,Sep 2 2019,Defender,Rober Pier,Deportivo La Coruña,Levante,undisclosed
12,Sep 2 2019,Midfielder,Christian Rivera,Las Palmas,Leganes,Loan
13,Sep 1 2019,Attacker,Guido Carrillo,Southampton,Leganes,Loan
14,Aug 31 2019,Defender,Nacho Monreal,Arsenal,Real Sociedad,"250,000"
15,Aug 30 2019,Attacker,Oliver Burke,West Bromwich,Alaves,Loan
16,Aug 29 2019,Defender,David Timor,Las Palmas,Getafe,Free
17,Aug 26 2019,Attacker,"""Cucho"" Hernandez",Watford,Mallorca,Loan
18,Aug 26 2019,Attacker,Jonathan Calleri,Club Maldonado,Espanyol,Loan
19,Aug 23 2019,Midfielder,Yannis Salibur,Guingamp,Mallorca,2million
20,Aug 22 2019,Attacker,Takefusa Kubo,Real Madrid,Mallorca,Loan
21,Aug 21 2019,Defender,Sebastien Corchia,Sevilla,Espanyol,Loan
22,Aug 21 2019,Defender,Alex Moreno,Rayo Vallecano,Real Betis,6.5million
23,Aug 20 2019,Midfielder,Javi Ontiveros,Malaga,Villarreal,7.5million
24,Aug 15 2019,Defender,Chidozie Awaziem,FC Porto,Leganes,Loan
25,Aug 14 2019,Attacker,Borja Iglesias,Espanyol,Real Betis,25.2million
26,Aug 14 2019,Midfielder,Rony Lopes,Monaco,Sevilla,20million
27,Aug 14 2019,Attacker,Carlos Fernandez,Sevilla,Granada,Loan
28,Aug 14 2019,Midfielder,Roque Mesa,Sevilla,Leganes,Loan
29,Aug 14 2019,Midfielder,Pape Cheikh,Lyon,Celta Vigo,Loan
30,Aug 14 2019,Defender,Raul Navas,Real Sociedad,Osasuna,Loan
31,Aug 13 2019,Defender,Xabi Etxeita,Athletic Bilbao,Getafe,Free
32,Aug 13 2019,Attacker,Robert Ibañez,Getafe,Osasuna,2million
33,Aug 13 2019,Defender,Jaume Costa,Villarreal,Valencia,Loan
34,Aug 13 2019,Defender,Kenneth Omeruo,Chelsea,Leganes,6.3million
35,Aug 13 2019,Goalkeeper,Andriy Lunin,Real Madrid,Real Valladolid,Loan
36,Aug 12 2019,Defender,Eliaquim Mangala,Manchester City,Valencia,Free
37,Aug 12 2019,Defender,Pedro Porro,Manchester City,Real Valladolid,Loan
38,Aug 9 2019,Defender,Fernando Calero,Real Valladolid,Espanyol,7.2million
39,Aug 8 2019,Defender,Facundo Roncaglia,Celta de Vigo,Osasuna,"225,000"
40,Aug 4 2019,Defender,Junior Firpo,Real Betis,FC Barcelona,18million
41,Aug 2 2019,Midfielder,Faycal Fajr,Caen,Getafe,2million
42,Aug 1 2019,Defender,Lumor,Sporting Lisbon,Mallorca,Loan
43,Aug 1 2019,Defender,Oscar Duarte,Espanyol,Levante,Free
44,Jul 31 2019,Attacker,Adrian Lopez,Porto,Osasuna,Free
45,Jul 31 2019,Attacker,Shinji Okazaki,Leicester,Malaga,Free
46,Jul 31 2019,Attacker,Igor Zlatanovic,Radnik,Mallorca,1.3million
47,Jul 29 2019,Attacker,Borja Mayoral,Real Madrid,Levante,Loan
48,Jul 28 2019,Midfielder,Aleix Vidal,Sevilla,Alaves,Loan
49,Jul 28 2019,Attacker,Darwin Machis,Udinese,Granada,undisclosed
50,Jul 27 2019,Defender,Javi Sanchez,Real Madrid,Real Valladolid,Loan
51,Jul 26 2019,Midfielder,Yangel Herrera,Manchester City,Granada,Loan
52,Jul 26 2019,Midfielder,Yangel Herrera,Manchester City,Granada,Loan
53,Jul 26 2019,Midfielder,Andre Zambo Anguissa,Fulham,Villarreal,Loan
54,Jul 25 2019,Attacker,Martin Braithwaite,Middlesbrough,Leganes,undisclosed
55,Jul 25 2019,Defender,Marc Navarro,Watford,Leganes,Loan
56,Jul 24 2019,Attacker,Takashi Inui,Real Betis,Eibar,2million
57,Jul 24 2019,Defender,Allan Nyom,West Bromwich,Getafe,undisclosed
58,Jul 24 2019,Defender,Roberto Rosales,Malaga,Leganes,undisclosed
59,Jul 23 2019,Midfielder,Darko Brasanac,Real Betis,Osasuna,undisclosed
60,Jul 23 2019,Midfielder,Nabil Fekir,Lyon,Real Betis,19.7million
61,Jul 23 2019,Midfielder,Nemanja Gudelj,Guangzhou Evergrande,Sevilla,Free
62,Jul 18 2019,Goalkeeper,Dani Martin,Sporting Gijon,Real Betis,5million
63,Jul 18 2019,Midfielder,Oriol Rey,Leeds,Real Valladolid,undisclosed
64,Jul 18 2019,Defender,Kieran Trippier,Tottenham,Atletico Madrid,22million
65,Jul 18 2019,Defender,Mario Hermoso,Espanyol,Atletico Madrid,25million
66,Jul 18 2019,Midfielder,Moi Gomez,Sporting Gijon,Villarreal,undisclosed
67,Jul 18 2019,Midfielder,Yan Brice,Sevilla,Granada,"900,000"
68,Jul 18 2019,Defender,Marc Cucurella,Barcelona,Getafe,Loan
69,Jul 17 2019,Midfielder,Yan Brice,Almeria,Sevilla,"450,000"
70,Jul 16 2019,Defender,Jorge Saenz,Valencia,Celta Vigo,Loan
71,Jul 16 2019,Defender,Marc Cucurella,Eibar,Barcelona,4million
72,Jul 16 2019,Attacker,Alfonso Pedraza,Villarreal,Real Betis,Loan
73,Jul 15 2019,Midfielder,Matias Vargas,Velez Sarsfield,Espanyol,10.5million
