,Date,Player Position,Player Name,From,To,Transfer Details
0,Sep 2 2019,Attacker,Pedro,Fluminense,Fiorentina,10million
1,Sep 2 2019,Attacker,Nikola Kalinic,Atletico Madrid,AS Roma,Loan
2,Sep 2 2019,Midfielder,Emiliano Rigoni,Zenit,Sampdoria,Loan
3,Sep 2 2019,Defender,Georgios Kyriakopoulos,Asteras Tripoli,Sassuolo,Loan
4,Sep 2 2019,Defender,Simon Kjaer,Sevilla,Atalanta,Loan
5,Sep 2 2019,Defender,Vlad Chiriches,Napoli,Sassuolo,Loan
6,Sep 2 2019,Midfielder,Henrik Mkhitaryan,Arsenal,AS Roma,Loan
7,Sep 2 2019,Attacker,Fernando Llorente,Tottenham,Napoli,Free
8,Sep 2 2019,Defender,Matteo Darmian,Manchester United,Parma,1.5million
9,Sep 2 2019,Defender,Peter Ankersen,FC Copenhagen,Genoa,undisclosed
10,Sep 2 2019,Midfielder,Romulo,Genoa,Brescia,Loan
11,Sep 2 2019,Attacker,Rachid Ghezzal,Leicester City,Fiorentina,Loan
12,Sep 2 2019,Attacker,Mariusz Stepinski,Chievo Verona,Hellas Verona,Loan
13,Sep 2 2019,Attacker,Stefano Okaka,Watford,Udinese,undisclosed
14,Sep 2 2019,Attacker,Simone Verdi,Napoli,Torino,Loan
15,Sep 2 2019,Defender,Edoardo Goldaniga,Sassuolo,Genoa,Loan
16,Sep 2 2019,Defender,Jacopo Sala,Sampdoria,Spal,Loan
17,Sep 2 2019,Attacker,Khouma Babacar,Sassuolo,Lecce,Loan
18,Sep 2 2019,Defender,Filippo Romagna,Cagliari,Sassuolo,Loan
19,Sep 1 2019,Attacker,Eddie Salcedo,Genoa,Hellas Verona,Loan
20,Sep 1 2019,Attacker,Ante Rebic,Frankfurt,AC Milan,undisclosed
21,Aug 31 2019,Defender,Diego Laxalt,AC Milan,Torino,Loan
22,Aug 31 2019,Midfielder,Gianelli Imbula,Stoke City,Lecce,Loan
23,Aug 30 2019,Defender,Chris Smalling,Manchester United,AS Roma,Loan
24,Aug 30 2019,Attacker,Eddie Salcedo,Inter Milan,Hellas Verona,Loan
25,Aug 30 2019,Attacker,Gregoire Defrel,AS Roma,Sassuolo,Loan
26,Aug 30 2019,Goalkeeper,Robin Olsen,AS Roma,Cagliari,Loan
27,Aug 30 2019,Attacker,Giovanni Simeone,Fiorentina,Cagliari,Loan
28,Aug 29 2019,Defender,Cristiano Biraghi,Fiorentina,Inter Milan,Loan
29,Aug 29 2019,Midfielder,Gary Medel,Besiktas,Bologna,2million
30,Aug 29 2019,Defender,Dalbert,Inter Milan,Fiorentina,Loan
31,Aug 29 2019,Attacker,Alexis Sanchez,Manchester United,Inter Milan,Loan
32,Aug 28 2019,Defender,Guilherme Arana,Sevilla,Atalanta,Loan
33,Aug 28 2019,Defender,Arkadiusz Reca,Atalanta,SPAL,Loan
34,Aug 27 2019,Defender,Giuseppe Pezzella,Udinese,Parma,Loan
35,Aug 26 2019,Midfielder,Matteo Pessina,Atalanta,Hellas Verona,Loan
36,Aug 23 2019,Midfielder,Patryk Dziczek,Piast Gliwice,Lazio,2million
37,Aug 23 2019,Midfielder,Hirving Lozano,PSV Eindhoven,Napoli,42million
38,Aug 22 2019,Midfielder,Ken Sema,Watford,Udinese,Loan
39,Aug 22 2019,Midfielder,Sofyan Amrabat,Club Brugge,Hellas Verona,Loan
40,Aug 21 2019,Attacker,Franck Ribery,Bayern Munich,Fiorentina,Free
41,Aug 21 2019,Defender,Claud Adjapong,Sassuolo,Hellas Verona,Loan
42,Aug 21 2019,Defender,Davide Zappacosta,Chelsea,AS Roma,Loan
43,Aug 20 2019,Midfielder,Marko Pajac,Cagliari,Genoa,Loan
44,Aug 20 2019,Goalkeeper,Karlo Letica,Club Brugge,SPAL,Loan
45,Aug 20 2019,Attacker,Mario Balotelli,N/A,Brescia,Free
46,Aug 20 2019,Defender,Mert Müldür,Rapid Vienna,Sassuolo,5million
47,Aug 19 2019,Defender,Luca Pellegrini,Juventus,Cagliari,Loan
48,Aug 14 2019,Attacker,Diego Farias,Cagliari,Lecce,Loan
49,Aug 13 2019,Midfielder,Mehdi Leris,Chievo Verona,Sampdoria,2.5million
50,Aug 12 2019,Defender,Martin Skrtel,Fenerbahce,Atalanta,Free
51,Aug 12 2019,Midfielder,Walace,Hannover 96,Udinese,5.4million
52,Aug 10 2019,Midfielder,Valerio Verre,Sampdoria,Hellas Verona,Loan
53,Aug 9 2019,Midfielder,Erick Pulgar,Bologna,Fiorentina,10million
54,Aug 9 2019,Attacker,Gennaro Tutino,Napoli,Hellas Verona,Loan
55,Aug 9 2019,Midfielder,Lasse Schone,Ajax,Genoa,1.5million
56,Aug 9 2019,Midfielder,Nahitan Nandez,Boca Juniors,Cagliari,16.2million
57,Aug 9 2019,Defender,Cristian Dell'Orco,Sassuolo,Lecce,Loan
58,Aug 8 2019,Defender,Danilo,Man City,Juventus,37million
59,Aug 8 2019,Attacker,Romelu Lukaku,Manchester United,Inter Milan,undisclosed
60,Aug 8 2019,Defender,Leo Duarte,Flamengo,AC Milan,11million
61,Aug 7 2019,Midfielder,Riccardo Saponara,Fiorentina,Genoa,Loan
62,Aug 7 2019,Defender,Giangiacomo Magnani,Sassuolo,Brescia,Loan
63,Aug 6 2019,Midfielder,Jaromir Zmrhal,Slavia Prague,Brescia,3.5million
64,Aug 5 2019,Midfielder,Milan Badelj,Lazio,Fiorentina,Loan
65,Aug 5 2019,Midfielder,Radja Nainggolan,Inter Milan,Cagliari,Loan
66,Aug 4 2019,Defender,Ismaël Bennacer,Empoli,AC Milan,16million
67,Aug 1 2019,Attacker,Rafael Leao,Lille,AC Milan,27million
68,Aug 1 2019,Defender,Pol Lirola,Sassuolo,Fiorentina,Loan
69,Aug 1 2019,Midfielder,Gaston Brugman,Pescara,Parma,2.5million
70,Aug 1 2019,Midfielder,Marco Pompetti,Inter Milan,Sampdoria,Loan
71,Jul 31 2019,Midfielder,Kevin-Prince Boateng,Sassuolo,Fiorentina,"900,000"
72,Jul 26 2019,Midfielder,Francesco Cassata,Sassuolo,Genoa,Loan
73,Jul 26 2019,Attacker,Ilija Nestorovski,Palermo,Udinese,Free
74,Jul 26 2019,Attacker,Federico Di Francesco,Sassuolo,SPAL,Loan
75,Jul 25 2019,Midfielder,Marko Rog,Napoli,Cagliari,Loan
76,Jul 25 2019,Defender,Salvatore Bocchetti,Spartak Moscow,Hellas Verona,Free
77,Jul 24 2019,Midfielder,Jony,Malaga,Lazio,2million
78,Jul 24 2019,Attacker,Andreas Skov Olsen,Nordsjaelland,Bologna,5.4million
79,Jul 24 2019,Midfielder,Eljif Elmas,Fenerbahce,Napoli,15million
80,Jul 24 2019,Midfielder,Pedro Obiang,West Ham,Sassuolo,undisclosed
81,Jul 22 2019,Midfielder,Darko Brasanac,Real Betis,Osasuna,undisclosed
82,Jul 22 2019,Midfielder,Jordan Veretout,Fiorentina,Roma,Loan
83,Jul 22 2019,Midfielder,Miguel Veloso,Genoa,Hellas Verona,Free
84,Jul 21 2019,Defender,Jhon Chancellor,Al Ahli,Brescia,1.44million
85,Jul 19 2019,Defender,Koray Gunter,Genoa,Hellas Verona,Loan
86,Jul 19 2019,Attacker,Cristo,Real Madrid Castilla,Udinese,1.35million
87,Jul 18 2019,Attacker,Andreas Cornelius,Atalanta,Parma,Loan
88,Jul 18 2019,Goalkeeper,Nicolas,Hellas Verona,Udinese,undisclosed
89,Jul 18 2019,Midfielder,Dejan Kulusevski,Atalanta,Parma,Loan
90,Jul 18 2019,Defender,Gianluca Mancini,Atalanta,Roma,Loan
91,Jul 18 2019,Defender,Matthijs de Ligt,Ajax,Juventus,75million
92,Jul 17 2019,Attacker,Roberto Inglese,Napoli,Parma,Loan
93,Jul 17 2019,Attacker,Yann Karamoh,Inter Milan,Parma,Loan
94,Jul 17 2019,Defender,Andrew Gravillon,Inter Milan,Sassuolo,Loan
95,Jul 17 2019,Goalkeeper,Guillermo Vicario,Venezia,Cagliari,undisclosed
96,Jul 16 2019,Goalkeeper,Boris Radunovic,Atalanta,Hellas Verona,Loan
97,Jul 16 2019,Midfielder,Sofian Kiyine,Chievo Verona,Lazio,"675,000"
98,Jul 16 2019,Midfielder,Ruslan Malinovskyi,Genk,Atalanta,13.7million
99,Jul 15 2019,Midfielder,Nicolo Barella,Cagliari,Inter Milan,Loan
100,Jul 15 2019,Defender,Cristian Romero,Genoa,Juventus,26million
101,Jul 15 2019,Midfielder,Hernani,Zenit St. Petersburg,Parma,Loan
102,Jul 15 2019,Attacker,Francesco Caputo,Empoli,Sassuolo,7.5million
103,Jul 15 2019,Attacker,Gianluca Lapadula,Genoa,Lecce,Loan
104,Jul 15 2019,Defender,Jeison Murillo,Valencia,Sampdoria,Loan
105,Jul 12 2019,Midfielder,Alessandro Murgia,Lazio,SPAL,7million
106,Jul 12 2019,Defender,Jeremy Toljan,Borussia Dortmund,Sassuolo,Loan
107,Jul 12 2019,Midfielder,Manuel Lazzari,SPAL,Lazio,17million
108,Jul 12 2019,Goalkeeper,Ionut Radu,Inter Milan,Genoa,Loan
